mi_attempt,centre
https://www.mousephenotype.org/imits/mi_attempts/1645,HMGU
https://www.mousephenotype.org/imits/mi_attempts/2449,HMGU
https://www.mousephenotype.org/imits/mi_attempts/2451,HMGU
https://www.mousephenotype.org/imits/mi_attempts/2454,HMGU
https://www.mousephenotype.org/imits/mi_attempts/2495,HMGU
https://www.mousephenotype.org/imits/mi_attempts/2496,HMGU
https://www.mousephenotype.org/imits/mi_attempts/2497,HMGU
https://www.mousephenotype.org/imits/mi_attempts/2610,HMGU
https://www.mousephenotype.org/imits/mi_attempts/2925,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16458,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16945,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16952,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16953,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16938,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16946,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16971,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16969,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16972,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16970,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16958,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16968,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16973,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16962,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16967,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16634,HMGU
https://www.mousephenotype.org/imits/mi_attempts/17235,HMGU
https://www.mousephenotype.org/imits/mi_attempts/17237,HMGU
https://www.mousephenotype.org/imits/mi_attempts/17477,HMGU
https://www.mousephenotype.org/imits/mi_attempts/17475,HMGU
https://www.mousephenotype.org/imits/mi_attempts/17476,HMGU
https://www.mousephenotype.org/imits/mi_attempts/17572,HMGU
https://www.mousephenotype.org/imits/mi_attempts/17573,HMGU
https://www.mousephenotype.org/imits/mi_attempts/17474,HMGU
https://www.mousephenotype.org/imits/mi_attempts/16786,HMGU
https://www.mousephenotype.org/imits/mi_attempts/18183,HMGU
https://www.mousephenotype.org/imits/mi_attempts/18180,HMGU
https://www.mousephenotype.org/imits/mi_attempts/18182,HMGU
https://www.mousephenotype.org/imits/mi_attempts/18179,HMGU
https://www.mousephenotype.org/imits/mi_attempts/18181,HMGU
https://www.mousephenotype.org/imits/mi_attempts/18723,HMGU
https://www.mousephenotype.org/imits/mi_attempts/18184,HMGU
https://www.mousephenotype.org/imits/mi_attempts/18855,HMGU
https://www.mousephenotype.org/imits/mi_attempts/19126,HMGU
https://www.mousephenotype.org/imits/mi_attempts/19168,HMGU